"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","Kick_Type","Distance"
"1","10","Anselmians","Huddersfield","First Half",00:03:50,"Kick",49.96,34.17,67.46,56.09,"Kick-Off",28.05
"2","10","Anselmians","Huddersfield","First Half",00:04:57,"Kick",59.2,21.02,76.88,-0.46,"Touch Kick",27.82
"3","15","Anselmians","Huddersfield","First Half",00:06:37,"Kick",57.44,16.52,94.93,70.03,"Open Play",65.34
"4","9","Anselmians","Huddersfield","First Half",00:09:27,"Kick",30.11,14.38,30.11,14.38,"Box",0
"5","10","Anselmians","Huddersfield","First Half",00:09:34,"Kick",18.96,1.9,59.83,4.15,"Open Play",40.93
"6","10","Anselmians","Huddersfield","First Half",00:12:12,"Kick",23.47,32.82,62.21,14.83,"Open Play",42.71
"7","10","Anselmians","Huddersfield","First Half",00:16:13,"Kick",50.21,33.61,70.19,60.14,"Kick-Off",33.21
"8","10","Anselmians","Huddersfield","First Half",00:19:29,"Kick",50.17,35.29,71.99,58.34,"Kick-Off",31.74
"9","10","Anselmians","Huddersfield","First Half",00:21:15,"Kick",59.58,32.15,87.78,3.7,"Open Play",40.06
"10","10","Anselmians","Huddersfield","First Half",00:23:42,"Kick",59.2,20.57,88.91,-0.23,"Touch Kick",36.27
"11","15","Anselmians","Huddersfield","First Half",00:27:20,"Kick",56.44,54.41,65.47,69.7,"Open Play",17.76
"12","13","Anselmians","Huddersfield","First Half",00:30:04,"Kick",17.33,16.41,44.91,-0.23,"Open Play",32.21
"13","15","Anselmians","Huddersfield","First Half",00:32:04,"Kick",22.09,35.18,73.49,2.35,"Open Play",60.99
"14","10","Anselmians","Huddersfield","First Half",00:32:47,"Kick",58.57,62.5,73.49,69.59,"Touch Kick",16.52
"15","10","Anselmians","Huddersfield","First Half",00:40:59,"Kick",50.05,35.07,75.75,61.83,"Kick-Off",37.1
"16","10","Anselmians","Huddersfield","First Half",00:43:13,"Kick",68.98,21.24,95.05,-0.46,"Touch Kick",33.92
"17","10","Anselmians","Leek","Second Half",00:54:21,"Kick",36.87,64.42,60.89,69.93,"Touch Kick",24.64
"18","10","Anselmians","Leek","Second Half",00:55:53,"Kick",60.04,55.44,81.16,70.04,"Touch Kick",25.68
"19","9","Anselmians","Leek","Second Half",00:58:37,"Kick",30.4,16.13,46.41,14.22,"Box",16.12
"20","9","Anselmians","Leek","Second Half",01:00:48,"Kick",28.86,16.91,40.11,10.06,"Box",13.17
"21","10","Anselmians","Leek","Second Half",01:02:17,"Kick",34.66,22.75,54.93,-0.27,"Touch Kick",30.67
"22","10","Anselmians","Leek","Second Half",01:07:18,"Kick",49.99,35.11,60.38,66.45,"Kick-Off",33.02
"23","15","Anselmians","Leek","Second Half",01:08:25,"Kick",26.99,58.47,73.67,61.95,"Open Play",46.81
"24","10","Anselmians","Leek","Second Half",01:09:32,"Kick",0.07,39.38,22.9,35,"Kick-Off",23.25
"25","15","Anselmians","Leek","Second Half",01:10:21,"Kick",14.55,14.67,63.96,-0.05,"Open Play",51.56
"26","10","Anselmians","Leek","Second Half",01:12:42,"Kick",54.76,32.98,82.87,6.69,"Open Play",38.49
"27","10","Anselmians","Leek","Second Half",01:14:55,"Kick",50.16,34.77,71.28,54.99,"Kick-Off",29.24
"28","Team","Anselmians","Leek","Second Half",01:15:23,"Kick",78.19,53.19,88.96,69.7,"Touch Kick",19.71
"29","10","Anselmians","Leek","Second Half",01:20:29,"Kick",-2.65,29.94,24.26,-0.27,"Open Play",40.46
"30","10","Anselmians","Leek","Second Half",01:21:37,"Kick",31.76,28.03,49.82,-0.16,"Touch Kick",33.48
"31","15","Anselmians","Leek","Second Half",01:29:58,"Kick",6.55,37.24,41.98,69.93,"Touch Kick",48.21
"32","15","Anselmians","Leek","Second Half",01:31:30,"Kick",41.3,23.32,78.1,0.52,"Open Play",43.29
"33","22","Anselmians","Leek","Second Half",01:34:11,"Kick",14.55,14.67,15.41,-0.38,"Open Play",15.07
"34","10","Anselmians","Manchester","First Half",00:00:04,"Kick",50.34,34.93,63.72,69.94,"Kick-Off",37.48
"35","15","Anselmians","Manchester","First Half",00:01:16,"Kick",49.23,31.68,77.28,67.36,"Open Play",45.39
"36","10","Anselmians","Manchester","First Half",00:03:31,"Kick",50.29,35.27,74.85,63.99,"Kick-Off",37.79
"37","10","Anselmians","Manchester","First Half",00:04:00,"Kick",44.99,35.16,83.49,10.14,"Open Play",45.92
"38","15","Anselmians","Manchester","First Half",00:05:31,"Kick",7.55,12.83,75.61,-0.3,"Open Play",69.31
"39","9","Anselmians","Manchester","First Half",00:07:15,"Kick",42.87,14.85,71.52,1.95,"Box",31.42
"40","10","Anselmians","Manchester","First Half",00:10:29,"Kick",13.16,49.41,64.69,69.82,"Open Play",55.42
"41","13","Anselmians","Manchester","First Half",00:12:39,"Kick",55.15,69.04,66.36,63.21,"Chip",12.64
"42","10","Anselmians","Manchester","First Half",00:15:12,"Kick",50.14,34.93,74.7,69.71,"Kick-Off",42.58
"43","15","Anselmians","Manchester","First Half",00:15:37,"Kick",41.5,54.01,73.94,-0.3,"Open Play",63.26
"44","10","Anselmians","Manchester","First Half",00:17:27,"Kick",81.82,50.19,94.86,69.94,"Touch Kick",23.67
"45","10","Anselmians","Manchester","First Half",00:24:53,"Kick",50.29,35.83,69.09,65.9,"Kick-Off",35.46
"46","15","Anselmians","Manchester","First Half",00:25:30,"Kick",48.78,34.82,78.64,69.94,"Open Play",46.1
"47","10","Anselmians","Manchester","First Half",00:27:06,"Kick",11.19,23.49,55.15,3.07,"Open Play",48.47
"48","15","Anselmians","Manchester","First Half",00:27:23,"Kick",39.99,66.8,75.91,62.76,"Chip",36.15
"49","9","Anselmians","Manchester","First Half",00:31:01,"Kick",25.26,30,50.13,19.11,"Box",27.15
"50","10","Anselmians","Manchester","First Half",00:31:30,"Kick",51.18,33.14,75.21,-0.07,"Touch Kick",40.99
"51","15","Anselmians","Manchester","First Half",00:32:30,"Kick",71.87,48.06,94.02,69.26,"Open Play",30.66
"52","9","Anselmians","Manchester","First Half",00:34:25,"Kick",24.21,31.12,56.82,8.45,"Box",39.72
"53","15","Anselmians","Manchester","First Half",00:34:42,"Kick",30.9,65.34,90.47,66.57,"Open Play",59.58
"54","10","Anselmians","Manchester","First Half",00:37:11,"Kick",13.56,16.87,47.83,-0.07,"Open Play",38.23
"55","15","Anselmians","Manchester","First Half",00:38:10,"Kick",20.87,33.47,55.36,4.86,"Open Play",44.81
"56","10","Anselmians","Manchester","First Half",00:39:31,"Kick",0.39,39.08,19.2,69.94,"Open Play",36.14
"57","10","Anselmians","Blackburn","First Half",00:00:16,"Kick",10.21,51.54,40.73,69.94,"Open Play",35.64
"58","10","Anselmians","Blackburn","First Half",00:03:36,"Kick",60.79,15.63,94.86,-0.07,"Touch Kick",37.51
"59","10","Anselmians","Blackburn","First Half",00:13:58,"Kick",41.77,46.26,80.44,56.47,"Open Play",40
"60","10","Anselmians","Blackburn","First Half",00:15:08,"Kick",61.21,15.86,88.59,-0.19,"Touch Kick",31.74
"61","10","Anselmians","Blackburn","First Half",00:16:16,"Kick",90.47,15.63,94.86,-0.07,"Touch Kick",16.3
"62","10","Anselmians","Blackburn","First Half",00:23:41,"Kick",-0.03,33.59,32.58,56.14,"Kick-Off",39.65
"63","15","Anselmians","Blackburn","First Half",00:25:38,"Kick",62.67,0.49,83.57,5.87,"Grubber",21.58
"64","10","Anselmians","Blackburn","First Half",00:30:25,"Kick",49.92,33.81,64.55,68.81,"Kick-Off",37.93
"65","10","Anselmians","Blackburn","First Half",00:31:10,"Kick",42.19,32.58,47,64.89,"Cross Field",32.67
"66","15","Anselmians","Blackburn","First Half",00:36:35,"Kick",30.69,28.54,78.14,68.48,"Open Play",62.02
"67","10","Anselmians","Blackburn","First Half",00:42:47,"Kick",77.3,64.66,88.8,69.71,"Touch Kick",12.56
"68","10","Anselmians","Long Eaton","Second Half",00:45:25,"Kick",76.13,38.88,77.05,68.84,"Cross Field",29.97
"69","10","Anselmians","Long Eaton","Second Half",00:50:52,"Kick",74.75,48.64,92.05,69.96,"Touch Kick",27.46
"70","10","Anselmians","Long Eaton","Second Half",00:55:58,"Kick",50.12,34.73,87.46,55.82,"Kick-Off",42.88
"71","10","Anselmians","Long Eaton","Second Half",01:04:35,"Kick",5.89,12.18,25.32,-0.05,"Touch Kick",22.96
"72","10","Anselmians","Long Eaton","Second Half",01:05:55,"Kick",38.33,36.86,55.78,69.96,"Touch Kick",37.42
"73","10","Anselmians","Long Eaton","Second Half",01:10:06,"Kick",33.59,50.66,34.97,69.96,"Open Play",19.35
"74","10","Anselmians","Long Eaton","Second Half",01:13:35,"Kick",30.68,14.87,59.45,-0.05,"Touch Kick",32.41
"75","10","Anselmians","Long Eaton","Second Half",01:21:30,"Kick",49.96,34.17,72.76,64.13,"Kick-Off",37.65
"76","22","Anselmians","Burton","Second Half",01:14:51,"Kick",26.09,15.77,49.96,17.34,"Box",23.92
"77","10","Anselmians","Burton","Second Half",01:16:49,"Kick",0.07,24.97,22.57,0.18,"Open Play",33.48
"78","10","Anselmians","Burton","Second Half",01:21:24,"Kick",7.88,25.08,40.78,0.06,"Open Play",41.33
"79","10","Anselmians","Burton","Second Half",01:27:15,"Kick",-2.68,17.12,8.18,-0.05,"Open Play",20.32
"80","10","Anselmians","Burton","Second Half",01:30:31,"Kick",49.81,35.18,81.64,11.73,"Kick-Off",39.54
"81","5","Anselmians","Burton","Second Half",01:34:05,"Kick",35.58,25.98,35.73,0.18,"Open Play",25.8
"82","10","Anselmians","Burton","Second Half",01:35:58,"Kick",56.7,16.44,81.49,-0.05,"Touch Kick",29.77
"83","10","Anselmians","Burton","Second Half",01:42:08,"Kick",21.04,9.71,51.49,0.06,"Open Play",31.94
"84","10","Anselmians","Burton","Second Half",01:45:27,"Kick",15.84,14.76,32.98,0.06,"Touch Kick",22.58
"85","10","Anselmians","Burton","Second Half",01:49:51,"Kick",30.37,32.38,70.47,15.21,"Open Play",43.62
"86","10","Anselmians","Burton","Second Half",01:54:32,"Kick",50.12,35.52,81.95,12.18,"Kick-Off",39.47
"87","22","Anselmians","Wirral","First Half",00:00:30,"Kick",27.98,55.07,45.32,54.96,"Box",17.34
