"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"1","5","Anselmians","Huddersfield","First Half",00:03:52,"Carry",66.22,55.76,65.84,57.56,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,1.84,"Halfway to Opposition 22"
"2","1","Anselmians","Huddersfield","First Half",00:04:01,"Carry",60.83,53.73,60.2,54.18,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,0.77,"Halfway to Opposition 22"
"3","8","Anselmians","Huddersfield","First Half",00:04:07,"Carry",53.81,34.84,56.82,34.84,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,3.01,"Halfway to Opposition 22"
"4","13","Anselmians","Huddersfield","First Half",00:04:17,"Carry",49.92,7.86,58.2,15.84,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,11.5,"Own 22 to Halfway"
"5","8","Anselmians","Huddersfield","First Half",00:04:23,"Carry",56.44,11.23,58.07,11.12,"GLS",0,0,"Other","On Target","Multi-Phase",NA,1.63,"Halfway to Opposition 22"
"6","6","Anselmians","Huddersfield","First Half",00:04:30,"Carry",52.68,16.63,58.45,20.68,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,7.05,"Halfway to Opposition 22"
"7","6","Anselmians","Huddersfield","First Half",00:05:22,"Carry",80.14,4.94,90.29,9.77,"GLS",0,0,"Other",NA,"Multi-Phase",NA,11.24,"Opposition 22"
"8","15","Anselmians","Huddersfield","First Half",00:05:29,"Carry",78.26,34.96,89.04,37.21,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,11.01,"Opposition 22"
"9","12","Anselmians","Huddersfield","First Half",00:05:35,"Carry",89.79,47.66,95.05,54.41,"GLS",0,0,"One Out",NA,"Multi-Phase",NA,8.56,"Opposition 22"
"10","13","Anselmians","Huddersfield","First Half",00:05:57,"Carry",50.42,52.05,62.84,20.23,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,34.16,"Halfway to Opposition 22"
"11","12","Anselmians","Huddersfield","First Half",00:06:02,"Carry",63.46,7.75,90.42,2.35,"No GLS",1,0,"Kick Return","On Target","Multi-Phase",NA,27.5,"Halfway to Opposition 22"
